1
100 10000 10000
9 35 273 728
16 14 961 40
52 36 851 150
93 84 751 250
86 42 599 402
59 54 557 444
68 75 637 364
84 51 147 854
35 92 599 402
66 90 245 756
71 9 609 392
22 50 377 624
38 70 219 782
52 36 759 242
10 83 351 650
30 28 578 423
70 34 552 449
57 20 965 36
20 64 711 290
45 17 519 482
51 10 900 101
31 8 776 225
22 50 329 672
94 32 811 190
49 37 977 24
41 99 921 80
85 43 502 499
12 3 604 397
77 67 394 607
94 32 521 480
85 43 227 774
88 38 368 633
98 40 413 588
48 49 942 59
45 17 737 264
14 77 473 528
16 14 515 486
31 8 853 148
20 64 547 454
98 40 127 874
81 65 308 693
4 13 94 907
20 64 625 376
7 18 310 691
61 74 916 85
75 22 494 507
86 42 741 260
61 74 566 435
44 73 97 904
99 33 897 104
6 72 180 821
20 64 677 324
22 50 690 311
13 59 283 718
18 60 643 358
94 32 109 892
78 44 941 60
67 55 353 648
40 91 609 392
99 33 719 282
20 64 142 859
41 99 237 764
18 60 820 181
91 57 308 693
85 43 940 61
82 56 85 916
12 3 337 664
68 75 662 339
63 48 919 82
41 99 275 726
20 64 316 685
18 60 799 202
44 73 799 202
12 3 370 631
90 46 199 802
17 87 412 589
72 63 294 707
82 56 253 748
67 55 277 724
80 41 83 918
96 26 842 159
54 68 73 928
6 72 962 39
3 61 869 132
43 93 110 891
84 51 696 305
63 48 793 208
96 26 381 620
9 35 932 69
16 14 663 338
66 90 603 398
8 23 348 653
72 63 456 545
96 26 473 528
98 40 53 948
40 91 751 250
94 32 943 58
67 55 688 313
81 65 52 949
27 79 623 378
87 86 844 157
65 25 924 77
32 11 93 908
74 94 540 461
15 71 496 505
1 53 662 339
57 20 431 570
31 8 154 847
14 77 349 652
41 99 956 45
7 18 78 923
77 67 306 695
63 48 384 617
9 35 31 970
99 33 716 285
35 92 188 813
38 70 150 851
48 49 300 701
63 48 817 184
63 48 922 79
62 5 959 42
97 81 924 77
95 82 501 500
75 22 621 380
35 92 21 980
58 2 646 355
5 95 41 960
18 60 56 945
3 61 980 21
32 11 339 662
78 44 116 885
66 90 581 420
92 24 855 146
8 23 422 579
42 100 556 445
23 45 108 893
19 39 658 343
77 67 488 513
6 72 252 749
16 14 170 831
14 77 73 928
56 52 333 668
52 36 509 492
62 5 666 335
68 75 696 305
61 74 487 514
67 55 967 34
32 11 791 210
41 99 957 44
10 83 931 70
7 18 786 215
17 87 92 909
47 69 509 492
23 45 330 671
30 28 725 276
25 89 520 481
72 63 491 510
47 69 411 590
94 32 169 832
6 72 702 299
95 82 768 233
75 22 526 475
84 51 509 492
75 22 119 882
65 25 416 585
65 25 574 427
28 58 927 74
10 83 256 745
8 23 942 59
18 60 945 56
73 66 383 618
71 9 405 596
86 42 98 903
28 58 400 601
20 64 384 617
83 29 488 513
49 37 256 745
51 10 961 40
69 98 794 207
22 50 47 954
4 13 135 866
12 3 757 244
27 79 655 346
67 55 263 738
89 78 802 199
8 23 299 702
64 62 796 205
13 59 554 447
31 8 755 246
59 54 611 390
82 56 454 547
10 83 630 371
51 10 700 301
28 58 206 795
48 49 900 101
80 41 306 695
27 79 996 5
35 92 634 367
42 100 843 158
63 48 882 119
82 56 367 634
4 13 46 955
73 66 495 506
61 74 902 99
96 26 618 383
3 61 888 113
55 76 135 866
94 32 948 53
13 59 970 31
8 23 656 345
56 52 136 865
99 33 422 579
30 28 369 632
76 47 987 14
91 57 478 523
80 41 128 873
79 4 737 264
3 61 721 280
96 26 196 805
25 89 310 691
39 30 19 982
32 11 658 343
88 38 687 314
50 16 984 17
7 18 219 782
26 21 148 853
66 90 353 648
65 25 933 68
10 83 847 154
9 35 614 387
55 76 151 850
31 8 436 565
16 14 57 944
42 100 547 454
72 63 888 113
92 24 506 495
64 62 811 190
46 31 957 44
22 50 929 72
54 68 488 513
77 67 173 828
42 100 300 701
58 2 395 606
24 7 839 162
50 16 966 35
34 97 6 995
75 22 973 28
80 41 250 751
49 37 536 465
10 83 255 746
55 76 608 393
86 42 667 334
51 10 969 32
26 21 738 263
23 45 945 56
10 83 844 157
31 8 485 516
60 88 369 632
99 33 176 825
53 27 948 53
35 92 33 968
75 22 139 862
14 77 613 388
37 12 55 946
22 50 181 820
28 58 516 485
95 82 869 132
43 93 516 485
49 37 396 605
76 47 220 781
79 4 496 505
69 98 765 236
99 33 960 41
79 4 32 969
43 93 892 109
89 78 78 923
28 58 829 172
8 23 441 560
45 17 907 94
7 18 532 469
77 67 517 484
85 43 54 947
2 6 630 371
39 30 786 215
57 20 551 450
27 79 223 778
72 63 299 702
79 4 551 450
97 81 989 12
59 54 919 82
47 69 556 445
37 12 982 19
56 52 43 958
25 89 548 453
69 98 355 646
50 16 990 11
3 61 345 656
56 52 460 541
81 65 152 849
75 22 13 988
16 14 722 279
27 79 578 423
11 80 21 980
15 71 874 127
98 40 353 648
44 73 927 74
46 31 948 53
72 63 852 149
84 51 527 474
16 14 664 337
10 83 378 623
1 53 873 128
28 58 855 146
88 38 835 166
62 5 96 905
93 84 333 668
40 91 377 624
45 17 359 642
6 72 500 501
40 91 536 465
5 95 661 340
59 54 837 164
57 20 511 490
23 45 445 556
71 9 974 27
26 21 732 269
2 6 300 701
78 44 291 710
25 89 790 211
95 82 346 655
9 35 370 631
4 13 727 274
3 61 606 395
65 25 467 534
17 87 523 478
32 11 839 162
64 62 167 834
73 66 75 926
67 55 43 958
73 66 361 640
48 49 386 615
18 60 4 997
18 60 11 990
70 34 518 483
14 77 737 264
47 69 932 69
76 47 855 146
8 23 629 372
45 17 668 333
16 14 665 336
93 84 904 97
92 24 894 107
46 31 936 65
72 63 508 493
27 79 446 555
31 8 963 38
61 74 144 857
29 15 56 945
1 53 240 761
46 31 566 435
31 8 526 475
42 100 899 102
58 2 948 53
43 93 188 813
88 38 304 697
62 5 176 825
29 15 761 240
9 35 649 352
7 18 580 421
92 24 328 673
61 74 994 7
85 43 168 833
93 84 713 288
56 52 379 622
12 3 582 419
6 72 89 912
62 5 390 611
66 90 473 528
97 81 10 991
45 17 621 380
1 53 266 735
36 96 316 685
49 37 250 751
49 37 564 437
46 31 540 461
11 80 948 53
32 11 872 129
56 52 202 799
15 71 389 612
1 53 588 413
91 57 145 856
49 37 407 594
90 46 805 196
25 89 19 982
41 99 228 773
5 95 321 680
74 94 249 752
32 11 910 91
33 85 310 691
78 44 878 123
55 76 654 347
81 65 131 870
28 58 823 178
35 92 682 319
65 25 928 73
58 2 230 771
75 22 60 941
25 89 309 692
30 28 909 92
29 15 55 946
87 86 977 24
48 49 793 208
85 43 440 561
1 53 937 64
89 78 180 821
75 22 511 490
22 50 305 696
77 67 350 651
65 25 989 12
8 23 235 766
91 57 388 613
98 40 886 115
14 77 244 757
55 76 821 180
89 78 133 868
20 64 921 80
2 6 249 752
78 44 546 455
15 71 433 568
40 91 276 725
7 18 741 260
21 19 336 665
25 89 106 895
90 46 30 971
22 50 798 203
98 40 558 443
31 8 801 200
37 12 399 602
40 91 224 777
83 29 111 890
63 48 455 546
28 58 347 654
87 86 124 877
56 52 903 98
15 71 560 441
86 42 354 647
12 3 963 38
46 31 227 774
11 80 209 792
40 91 50 951
79 4 883 118
25 89 480 521
15 71 104 897
96 26 680 321
64 62 561 440
83 29 652 349
97 81 412 589
85 43 137 864
49 37 566 435
7 18 757 244
64 62 231 770
74 94 98 903
44 73 88 913
35 92 717 284
82 56 41 960
91 57 801 200
99 33 528 473
52 36 808 193
38 70 114 887
5 95 942 59
34 97 957 44
45 17 801 200
34 97 647 354
94 32 84 917
19 39 644 357
97 81 402 599
87 86 172 829
1 53 141 860
6 72 586 415
38 70 35 966
79 4 776 225
65 25 771 230
54 68 363 638
15 71 801 200
24 7 163 838
91 57 66 935
26 21 649 352
6 72 468 533
89 78 966 35
8 23 669 332
73 66 991 10
34 97 17 984
13 59 808 193
78 44 415 586
15 71 375 626
65 25 304 697
14 77 395 606
26 21 211 790
85 43 813 188
3 61 97 904
90 46 963 38
52 36 214 787
87 86 647 354
10 83 41 960
47 69 141 860
50 16 211 790
24 7 601 400
49 37 435 566
73 66 213 788
28 58 796 205
50 16 457 544
57 20 199 802
45 17 78 923
92 24 281 720
5 95 706 295
83 29 78 923
28 58 434 567
18 60 519 482
70 34 632 369
38 70 587 414
7 18 681 320
39 30 624 377
47 69 281 720
41 99 240 761
28 58 331 670
66 90 770 231
40 91 46 955
61 74 729 272
65 25 261 740
1 53 477 524
74 94 391 610
47 69 318 683
5 95 391 610
16 14 304 697
7 18 755 246
49 37 116 885
94 32 687 314
79 4 220 781
54 68 456 545
66 90 720 281
58 2 327 674
32 11 497 504
91 57 334 667
91 57 512 489
49 37 401 600
12 3 107 894
2 6 205 796
61 74 168 833
48 49 425 576
96 26 510 491
36 96 488 513
45 17 590 411
13 59 839 162
97 81 431 570
77 67 357 644
73 66 482 519
8 23 307 694
45 17 814 187
2 6 42 959
89 78 491 510
32 11 488 513
97 81 447 554
69 98 429 572
69 98 869 132
22 50 393 608
55 76 861 140
39 30 918 83
27 79 675 326
92 24 830 171
9 35 593 408
43 93 630 371
48 49 20 981
61 74 561 440
88 38 371 630
19 39 855 146
9 35 905 96
57 20 821 180
28 58 389 612
53 27 493 508
34 97 244 757
6 72 74 927
23 45 138 863
15 71 36 965
14 77 1 1000
88 38 151 850
92 24 820 181
82 56 585 416
57 20 137 864
91 57 994 7
34 97 468 533
42 100 808 193
11 80 441 560
94 32 562 439
38 70 152 849
15 71 501 500
34 97 416 585
33 85 450 551
75 22 854 147
45 17 368 633
30 28 698 303
82 56 797 204
94 32 766 235
61 74 365 636
73 66 618 383
38 70 418 583
48 49 831 170
52 36 732 269
32 11 100 901
74 94 329 672
83 29 835 166
82 56 928 73
50 16 157 844
4 13 959 42
73 66 373 628
21 19 495 506
8 23 238 763
79 4 43 958
42 100 490 511
47 69 4 997
9 35 63 938
67 55 5 996
72 63 418 583
85 43 715 286
63 48 542 459
72 63 333 668
38 70 897 104
4 13 678 323
12 3 970 31
91 57 4 997
34 97 473 528
15 71 86 915
66 90 774 227
48 49 561 440
69 98 887 114
60 88 511 490
37 12 768 233
80 41 71 930
54 68 307 694
18 60 605 396
58 2 928 73
72 63 595 406
85 43 402 599
51 10 78 923
66 90 410 591
45 17 91 910
92 24 830 171
31 8 367 634
13 59 833 168
58 2 83 918
28 58 485 516
14 77 455 546
16 14 754 247
25 89 219 782
31 8 844 157
98 40 714 287
73 66 712 289
19 39 482 519
52 36 531 470
89 78 194 807
21 19 90 911
53 27 492 509
25 89 690 311
65 25 223 778
9 35 88 913
3 61 249 752
73 66 246 755
22 50 666 335
42 100 466 535
98 40 235 766
17 87 986 15
5 95 673 328
56 52 658 343
40 91 192 809
46 31 558 443
20 64 611 390
70 34 546 455
37 12 673 328
93 84 951 50
47 69 250 751
32 11 932 69
33 85 250 751
70 34 217 784
18 60 492 509
3 61 377 624
59 54 958 43
81 65 481 520
9 35 349 652
11 80 10 991
94 32 584 417
27 79 833 168
7 18 217 784
22 50 449 552
51 10 583 418
90 46 499 502
83 29 935 66
27 79 209 792
57 20 229 772
45 17 640 361
70 34 529 472
94 32 275 726
39 30 253 748
36 96 713 288
98 40 924 77
95 82 797 204
29 15 212 789
21 19 414 587
9 35 860 141
87 86 755 246
98 40 693 308
93 84 699 302
25 89 487 514
53 27 404 597
97 81 587 414
5 95 545 456
7 18 717 284
49 37 40 961
94 32 647 354
6 72 262 739
18 60 733 268
37 12 805 196
12 3 186 815
48 49 700 301
10 83 364 637
49 37 222 779
34 97 495 506
63 48 242 759
27 79 970 31
74 94 983 18
63 48 740 261
5 95 482 519
59 54 347 654
5 95 357 644
63 48 170 831
75 22 100 901
73 66 317 684
46 31 769 232
23 45 485 516
28 58 508 493
40 91 573 428
51 10 790 211
40 91 492 509
44 73 85 916
72 63 141 860
87 86 685 316
31 8 469 532
59 54 269 732
82 56 948 53
87 86 998 3
61 74 906 95
16 14 653 348
41 99 149 852
51 10 955 46
21 19 188 813
20 64 587 414
53 27 195 806
23 45 310 691
88 38 217 784
19 39 384 617
79 4 752 249
21 19 347 654
43 93 758 243
50 16 455 546
58 2 385 616
68 75 201 800
3 61 44 957
88 38 510 491
69 98 609 392
66 90 64 937
60 88 33 968
41 99 732 269
62 5 787 214
7 18 382 619
49 37 579 422
46 31 551 450
54 68 871 130
70 34 662 339
20 64 379 622
58 2 499 502
48 49 493 508
51 10 172 829
25 89 924 77
40 91 251 750
71 9 45 956
89 78 672 329
69 98 58 943
25 89 89 912
44 73 914 87
94 32 476 525
23 45 516 485
78 44 237 764
85 43 304 697
3 61 860 141
76 47 333 668
6 72 211 790
33 85 879 122
71 9 395 606
27 79 460 541
18 60 884 117
29 15 69 932
75 22 244 757
7 18 737 264
93 84 400 601
39 30 91 910
3 61 116 885
75 22 346 655
78 44 307 694
52 36 894 107
31 8 886 115
58 2 758 243
66 90 829 172
63 48 811 190
85 43 910 91
2 6 424 577
35 92 936 65
63 48 95 906
37 12 760 241
22 50 179 822
64 62 968 33
76 47 271 730
59 54 625 376
32 11 690 311
46 31 12 989
81 65 416 585
33 85 426 575
70 34 721 280
60 88 691 310
96 26 98 903
4 13 126 875
71 9 786 215
31 8 117 884
62 5 698 303
74 94 444 557
72 63 377 624
25 89 526 475
36 96 432 569
25 89 131 870
90 46 549 452
76 47 175 826
51 10 231 770
89 78 394 607
13 59 993 8
2 6 893 108
63 48 404 597
82 56 913 88
41 99 567 434
77 67 207 794
51 10 287 714
17 87 35 966
38 70 908 93
30 28 139 862
50 16 775 226
34 97 544 457
12 3 496 505
57 20 315 686
82 56 475 526
31 8 324 677
58 2 861 140
53 27 228 773
18 60 970 31
56 52 948 53
79 4 250 751
4 13 832 169
53 27 789 212
75 22 291 710
11 80 502 499
37 12 341 660
91 57 153 848
32 11 876 125
53 27 33 968
35 92 479 522
84 51 202 799
52 36 667 334
56 52 661 340
10 83 317 684
50 16 144 857
92 24 208 793
54 68 606 395
43 93 778 223
80 41 144 857
89 78 329 672
39 30 806 195
1 53 635 366
99 33 693 308
92 24 143 858
64 62 864 137
8 23 680 321
17 87 441 560
31 8 280 721
78 44 187 814
22 50 575 426
10 83 361 640
88 38 958 43
87 86 247 754
42 100 145 856
7 18 121 880
68 75 154 847
59 54 334 667
15 71 586 415
48 49 796 205
3 61 838 163
89 78 490 511
65 25 93 908
72 63 535 466
10 83 724 277
10 83 799 202
81 65 204 797
13 59 537 464
37 12 689 312
30 28 790 211
1 53 566 435
57 20 984 17
76 47 89 912
17 87 915 86
49 37 922 79
92 24 510 491
54 68 686 315
94 32 913 88
64 62 935 66
65 25 587 414
36 96 47 954
38 70 69 932
28 58 865 136
45 17 954 47
98 40 77 924
38 70 289 712
2 6 173 828
84 51 725 276
24 7 250 751
52 36 505 496
8 23 914 87
14 77 247 754
42 100 218 783
14 77 383 618
14 77 194 807
8 23 181 820
19 39 17 984
68 75 399 602
73 66 905 96
96 26 740 261
96 26 883 118
19 39 97 904
50 16 548 453
21 19 146 855
49 37 704 297
31 8 449 552
43 93 6 995
53 27 230 771
12 3 155 846
4 13 317 684
16 14 434 567
50 16 980 21
17 87 838 163
4 13 135 866
16 14 56 945
97 81 597 404
34 97 272 729
15 71 998 3
3 61 243 758
18 60 286 715
51 10 9 992
64 62 600 401
26 21 359 642
22 50 979 22
46 31 206 795
25 89 576 425
5 95 155 846
20 64 400 601
44 73 708 293
35 92 805 196
68 75 282 719
44 73 21 980
20 64 169 832
12 3 879 122
49 37 814 187
70 34 943 58
55 76 573 428
44 73 584 417
4 13 768 233
27 79 892 109
59 54 613 388
64 62 553 448
83 29 707 294
21 19 43 958
84 51 779 222
72 63 395 606
55 76 588 413
21 19 757 244
47 69 569 432
21 19 617 384
36 96 855 146
38 70 814 187
94 32 329 672
55 76 904 97
87 86 708 293
43 93 275 726
78 44 102 899
89 78 968 33
22 50 901 100
21 19 359 642
47 69 711 290
29 15 557 444
98 40 85 916
92 24 8 993
56 52 983 18
55 76 357 644
46 31 788 213
54 68 244 757
33 85 164 837
24 7 391 610
77 67 88 913
47 69 667 334
12 3 324 677
74 94 276 725
29 15 280 721
40 91 158 843
35 92 491 510
56 52 360 641
59 54 711 290
33 85 55 946
65 25 427 574
28 58 266 735
57 20 288 713
12 3 816 185
43 93 605 396
97 81 272 729
22 50 464 537
45 17 120 881
97 81 804 197
96 26 546 455
8 23 328 673
82 56 664 337
51 10 630 371
84 51 452 549
87 86 324 677
19 39 277 724
35 92 299 702
14 77 173 828
59 54 767 234
67 55 458 543
66 90 970 31
29 15 591 410
82 56 353 648
40 91 639 362
37 12 835 166
37 12 321 680
64 62 888 113
9 35 49 952
35 92 62 939
20 64 288 713
34 97 150 851
36 96 353 648
61 74 730 271
80 41 472 529
78 44 600 401
93 84 380 621
72 63 518 483
64 62 332 669
86 42 507 494
3 61 641 360
4 13 663 338
24 7 20 981
20 64 349 652
67 55 785 216
58 2 602 399
79 4 436 565
68 75 107 894
25 89 980 21
78 44 745 256
92 24 521 480
98 40 437 564
16 14 728 273
13 59 147 854
78 44 625 376
87 86 698 303
39 30 379 622
37 12 667 334
48 49 265 736
52 36 446 555
35 92 1000 1
72 63 965 36
39 30 991 10
24 7 638 363
95 82 747 254
63 48 413 588
97 81 929 72
45 17 992 9
18 60 679 322
77 67 153 848
78 44 656 345
17 87 792 209
75 22 693 308
67 55 258 743
45 17 531 470
27 79 345 656
38 70 362 639
29 15 262 739
15 71 343 658
93 84 705 296
46 31 363 638
77 67 775 226
40 91 201 800
68 75 122 879
92 24 624 377
66 90 971 30
91 57 124 877
13 59 623 378
35 92 310 691
88 38 472 529
89 78 814 187
21 19 118 883
66 90 752 249
19 39 537 464
60 88 455 546
82 56 378 623
78 44 526 475
41 99 482 519
97 81 231 770
24 7 606 395
37 12 77 924
32 11 825 176
30 28 442 559
1 53 637 364
73 66 545 456
61 74 405 596
75 22 319 682
60 88 727 274
81 65 633 368
28 58 586 415
49 37 300 701
27 79 42 959
75 22 27 974
44 73 519 482
9 35 813 188
24 7 945 56
68 75 535 466
51 10 802 199
19 39 235 766
55 76 653 348
33 85 895 106
5 95 749 252
25 89 816 185
98 40 240 761
52 36 248 753
76 47 799 202
54 68 735 266
57 20 795 206
20 64 456 545
67 55 610 391
84 51 991 10
7 18 470 531
38 70 794 207
37 12 768 233
71 9 838 163
49 37 73 928
15 71 439 562
77 67 986 15
6 72 282 719
39 30 450 551
26 21 838 163
56 52 70 931
72 63 790 211
36 96 34 967
42 100 414 587
63 48 162 839
80 41 684 317
19 39 147 854
78 44 419 582
11 80 37 964
67 55 271 730
76 47 46 955
55 76 121 880
18 60 397 604
13 59 258 743
30 28 273 728
70 34 229 772
40 91 824 177
84 51 1 1000
77 67 839 162
24 7 153 848
64 62 658 343
97 81 745 256
86 42 757 244
8 23 92 909
3 61 485 516
5 95 922 79
99 33 299 702
15 71 322 679
10 83 837 164
61 74 180 821
25 89 357 644
24 7 991 10
62 5 866 135
64 62 406 595
35 92 234 767
79 4 62 939
21 19 590 411
68 75 194 807
81 65 523 478
98 40 917 84
19 39 694 307
34 97 348 653
2 6 656 345
40 91 346 655
71 9 341 660
58 2 222 779
97 81 669 332
16 14 147 854
34 97 986 15
47 69 767 234
40 91 324 677
6 72 589 412
63 48 625 376
62 5 619 382
6 72 883 118
93 84 650 351
72 63 620 381
7 18 316 685
89 78 803 198
23 45 968 33
16 14 998 3
57 20 277 724
68 75 357 644
72 63 947 54
89 78 346 655
36 96 200 801
42 100 8 993
84 51 307 694
16 14 555 446
62 5 537 464
16 14 310 691
11 80 791 210
25 89 215 786
15 71 289 712
48 49 681 320
92 24 504 497
83 29 723 278
46 31 52 949
76 47 313 688
60 88 331 670
98 40 808 193
42 100 764 237
26 21 196 805
32 11 472 529
27 79 160 841
55 76 968 33
77 67 161 840
30 28 745 256
37 12 907 94
56 52 551 450
39 30 679 322
46 31 39 962
3 61 830 171
61 74 751 250
60 88 273 728
78 44 347 654
90 46 126 875
92 24 822 179
54 68 338 663
52 36 847 154
86 42 233 768
15 71 701 300
7 18 467 534
56 52 228 773
37 12 358 643
62 5 330 671
60 88 96 905
87 86 767 234
60 88 984 17
37 12 478 523
67 55 171 830
37 12 997 4
40 91 664 337
33 85 551 450
9 35 445 556
49 37 894 107
71 9 388 613
30 28 664 337
99 33 277 724
36 96 716 285
68 75 9 992
48 49 812 189
73 66 3 998
6 72 466 535
17 87 585 416
44 73 9 992
32 11 586 415
5 95 516 485
7 18 200 801
53 27 210 791
47 69 175 826
51 10 316 685
97 81 605 396
25 89 828 173
14 77 63 938
23 45 312 689
28 58 379 622
84 51 528 473
50 16 22 979
84 51 279 722
76 47 859 142
57 20 138 863
63 48 879 122
7 18 324 677
90 46 289 712
20 64 409 592
36 96 244 757
65 25 301 700
4 13 464 537
71 9 151 850
77 67 607 394
97 81 731 270
87 86 784 217
3 61 76 925
83 29 444 557
34 97 23 978
84 51 524 477
92 24 990 11
17 87 799 202
63 48 79 922
14 77 709 292
66 90 104 897
88 38 136 865
17 87 974 27
18 60 57 944
32 11 745 256
74 94 190 811
50 16 279 722
67 55 878 123
32 11 573 428
7 18 678 323
54 68 507 494
60 88 693 308
93 84 148 853
79 4 630 371
8 23 712 289
33 85 119 882
55 76 842 159
57 20 590 411
23 45 798 203
18 60 467 534
61 74 877 124
53 27 466 535
9 35 208 793
84 51 116 885
18 60 186 815
31 8 54 947
27 79 317 684
60 88 492 509
50 16 933 68
70 34 666 335
90 46 222 779
56 52 178 823
73 66 525 476
44 73 971 30
17 87 927 74
30 28 995 6
29 15 469 532
11 80 134 867
40 91 642 359
87 86 712 289
34 97 612 389
89 78 215 786
56 52 277 724
93 84 878 123
25 89 589 412
33 85 26 975
91 57 532 469
94 32 627 374
20 64 73 928
59 54 372 629
36 96 743 258
7 18 357 644
18 60 777 224
16 14 617 384
35 92 839 162
76 47 322 679
72 63 856 145
17 87 592 409
96 26 747 254
83 29 951 50
55 76 630 371
68 75 60 941
72 63 982 19
26 21 593 408
96 26 657 344
53 27 30 971
11 80 289 712
20 64 409 592
96 26 69 932
48 49 408 593
76 47 64 937
94 32 23 978
65 25 369 632
26 21 808 193
74 94 922 79
43 93 835 166
62 5 538 463
7 18 488 513
88 38 423 578
25 89 827 174
24 7 246 755
64 62 709 292
81 65 970 31
99 33 324 677
63 48 303 698
69 98 333 668
40 91 267 734
80 41 174 827
81 65 489 512
15 71 654 347
76 47 251 750
43 93 423 578
17 87 322 679
77 67 349 652
75 22 597 404
17 87 717 284
14 77 833 168
16 14 966 35
71 9 877 124
30 28 129 872
51 10 984 17
27 79 717 284
75 22 462 539
33 85 378 623
3 61 313 688
27 79 698 303
19 39 952 49
17 87 758 243
83 29 808 193
58 2 296 705
98 40 441 560
41 99 271 730
72 63 559 442
19 39 931 70
19 39 550 451
13 59 893 108
74 94 192 809
89 78 897 104
64 62 315 686
92 24 1000 1
32 11 355 646
7 18 317 684
83 29 799 202
30 28 503 498
49 37 750 251
62 5 780 221
40 91 33 968
24 7 485 516
20 64 526 475
22 50 946 55
72 63 744 257
17 87 299 702
31 8 86 915
53 27 4 997
18 60 61 940
30 28 38 963
45 17 761 240
97 81 275 726
88 38 409 592
79 4 405 596
70 34 607 394
23 45 724 277
93 84 218 783
58 2 551 450
78 44 439 562
69 98 15 986
48 49 974 27
33 85 449 552
11 80 926 75
58 2 646 355
7 18 809 192
63 48 855 146
39 30 5 996
69 98 509 492
95 82 53 948
61 74 473 528
84 51 786 215
86 42 625 376
41 99 221 780
1 53 812 189
70 34 4 997
40 91 932 69
28 58 861 140
20 64 660 341
58 2 649 352
89 78 346 655
98 40 835 166
21 19 24 977
58 2 50 951
5 95 680 321
46 31 877 124
89 78 239 762
94 32 912 89
51 10 124 877
33 85 144 857
55 76 529 472
37 12 106 895
22 50 622 379
59 54 939 62
94 32 919 82
44 73 601 400
19 39 258 743
25 89 779 222
3 61 206 795
72 63 815 186
81 65 239 762
77 67 117 884
25 89 678 323
66 90 893 108
67 55 468 533
79 4 302 699
22 50 381 620
33 85 207 794
78 44 583 418
5 95 213 788
28 58 82 919
35 92 47 954
61 74 313 688
69 98 665 336
51 10 324 677
53 27 999 2
25 89 188 813
40 91 530 471
83 29 584 417
21 19 278 723
27 79 119 882
84 51 663 338
85 43 752 249
19 39 418 583
44 73 832 169
10 83 443 558
64 62 303 698
54 68 564 437
75 22 498 503
42 100 679 322
42 100 908 93
94 32 265 736
16 14 939 62
13 59 255 746
70 34 568 433
5 95 277 724
60 88 222 779
49 37 834 167
25 89 436 565
90 46 246 755
84 51 205 796
50 16 613 388
8 23 975 26
62 5 181 820
46 31 532 469
48 49 473 528
61 74 735 266
44 73 407 594
18 60 667 334
40 91 432 569
69 98 710 291
94 32 541 460
28 58 881 120
3 61 922 79
7 18 383 618
77 67 334 667
6 72 470 531
43 93 417 584
87 86 825 176
96 26 65 936
7 18 665 336
42 100 10 991
63 48 704 297
80 41 644 357
11 80 660 341
63 48 421 580
46 31 339 662
74 94 752 249
62 5 595 406
37 12 831 170
95 82 798 203
13 59 491 510
30 28 646 355
39 30 258 743
74 94 696 305
95 82 214 787
39 30 754 247
6 72 886 115
50 16 147 854
90 46 731 270
52 36 488 513
91 57 432 569
28 58 923 78
66 90 822 179
60 88 272 729
47 69 181 820
69 98 756 245
34 97 253 748
